Wildcard,File,XPATH
@@OLDAWE5_50@@,OutputChartFile,OldAWE[3|5]
@@OLDAWE5_75@@,OutputChartFile,OldAWE[4|5]
@@OLDAWE5_95@@,OutputChartFile,OldAWE[5|5]
@@OLDAWE5_MU@@,OutputChartFile,OldAWE[6|5]
@@OLDAWE5_VOL@@,OutputChartFile,OldAWE[7|5]
@@OLDAWE10_5@@,OutputChartFile,OldAWE[1|10]
@@OLDAWE10_25@@,OutputChartFile,OldAWE[2|10]
@@OLDAWE10_50@@,OutputChartFile,OldAWE[3|10]
@@OLDAWE10_75@@,OutputChartFile,OldAWE[4|10]
@@OLDAWE10_95@@,OutputChartFile,OldAWE[5|10]
@@OLDAWE10_MU@@,OutputChartFile,OldAWE[6|10]
@@OLDAWE10_VOL@@,OutputChartFile,OldAWE[7|10]
@@OLDAWE15_5@@,OutputChartFile,OldAWE[1|15]
@@OLDAWE15_25@@,OutputChartFile,OldAWE[2|15]
@@OLDAWE15_50@@,OutputChartFile,OldAWE[3|15]
@@OLDAWE15_75@@,OutputChartFile,OldAWE[4|15]
@@OLDAWE15_95@@,OutputChartFile,OldAWE[5|15]
@@OLDAWE15_MU@@,OutputChartFile,OldAWE[6|15]
@@OLDAWE15_VOL@@,OutputChartFile,OldAWE[7|15]
@@OLDAWE25_5@@,OutputChartFile,OldAWE[1|25]
@@OLDAWE25_25@@,OutputChartFile,OldAWE[2|25]
@@OLDAWE25_50@@,OutputChartFile,OldAWE[3|25]
@@OLDAWE25_75@@,OutputChartFile,OldAWE[4|25]
@@OLDAWE25_95@@,OutputChartFile,OldAWE[5|25]
@@OLDAWE25_MU@@,OutputChartFile,OldAWE[6|25]
@@OLDAWE25_VOL@@,OutputChartFile,OldAWE[7|25]
@@OLDAWE30_5@@,OutputChartFile,OldAWE[1|30]
@@OLDAWE30_25@@,OutputChartFile,OldAWE[2|30]
@@OLDAWE30_50@@,OutputChartFile,OldAWE[3|30]
@@OLDAWE30_75@@,OutputChartFile,OldAWE[4|30]
@@OLDAWE30_95@@,OutputChartFile,OldAWE[5|30]
@@OLDAWE30_MU@@,OutputChartFile,OldAWE[6|30]
@@OLDAWE30_VOL@@,OutputChartFile,OldAWE[7|30]
@@NEWAWE1_5@@,OutputChartFile,NewAWE[1|1]
@@NEWAWE1_25@@,OutputChartFile,NewAWE[2|1]
@@NEWAWE1_50@@,OutputChartFile,NewAWE[3|1]
@@NEWAWE1_75@@,OutputChartFile,NewAWE[4|1]
@@NEWAWE1_95@@,OutputChartFile,NewAWE[5|1]
@@NEWAWE1_MU@@,OutputChartFile,NewAWE[6|1]
@@NEWAWE1_VOL@@,OutputChartFile,NewAWE[7|1]
@@NEWAWE5_5@@,OutputChartFile,NewAWE[1|5]
@@NEWAWE5_25@@,OutputChartFile,NewAWE[2|5]
@@NEWAWE5_50@@,OutputChartFile,NewAWE[3|5]
@@NEWAWE5_75@@,OutputChartFile,NewAWE[4|5]
@@NEWAWE5_95@@,OutputChartFile,NewAWE[5|5]
@@NEWAWE5_MU@@,OutputChartFile,NewAWE[6|5]
@@NEWAWE5_VOL@@,OutputChartFile,NewAWE[7|5]
@@NEWAWE10_5@@,OutputChartFile,NewAWE[1|10]
@@NEWAWE10_25@@,OutputChartFile,NewAWE[2|10]
@@NEWAWE10_50@@,OutputChartFile,NewAWE[3|10]
@@NEWAWE10_75@@,OutputChartFile,NewAWE[4|10]
@@NEWAWE10_95@@,OutputChartFile,NewAWE[5|10]
@@NEWAWE10_MU@@,OutputChartFile,NewAWE[6|10]
@@NEWAWE10_VOL@@,OutputChartFile,NewAWE[7|10]
@@NEWAWE15_5@@,OutputChartFile,NewAWE[1|15]
@@NEWAWE15_25@@,OutputChartFile,NewAWE[2|15]
@@NEWAWE15_50@@,OutputChartFile,NewAWE[3|15]
@@NEWAWE15_75@@,OutputChartFile,NewAWE[4|15]
@@NEWAWE15_95@@,OutputChartFile,NewAWE[5|15]
@@NEWAWE15_MU@@,OutputChartFile,NewAWE[6|15]
@@NEWAWE15_VOL@@,OutputChartFile,NewAWE[7|15]
@@NEWAWE25_5@@,OutputChartFile,NewAWE[1|25]
@@NEWAWE25_25@@,OutputChartFile,NewAWE[2|25]
@@NEWAWE25_50@@,OutputChartFile,NewAWE[3|25]
@@NEWAWE25_75@@,OutputChartFile,NewAWE[4|25]
@@NEWAWE25_95@@,OutputChartFile,NewAWE[5|25]
@@NEWAWE25_MU@@,OutputChartFile,NewAWE[6|25]
@@NEWAWE25_VOL@@,OutputChartFile,NewAWE[7|25]
@@NEWAWE30_5@@,OutputChartFile,NewAWE[1|30]
@@NEWAWE30_25@@,OutputChartFile,NewAWE[2|30]
@@NEWAWE30_50@@,OutputChartFile,NewAWE[3|30]
@@NEWAWE30_75@@,OutputChartFile,NewAWE[4|30]
@@NEWAWE30_95@@,OutputChartFile,NewAWE[5|30]
@@NEWAWE30_MU@@,OutputChartFile,NewAWE[6|30]
@@NEWAWE30_VOL@@,OutputChartFile,NewAWE[7|30]
@@OLDAWEPERCENTILE@@,,
@@OLDAWEHIST@@,,
@@NEWAWEPERCENTILE@@,,
@@NEWAWEHIST@@,,
@@OLDAUEQP12@@,OldCalibFile,//Model[ModelID=//Model[Name='Australian Equities']//volatility_model_id|//Model[Name='Australian Equities']//VolatilityModelId]//probability_state2_state1|//Model[ModelID=//Model[Name='Australian Equities']//volatility_model_id|//Model[Name='Australian Equities']//VolatilityModelId]//ProbabilityState2State1
@@OLDAUEQP21@@,OldCalibFile,//Model[ModelID=//Model[Name='Australian Equities']//volatility_model_id|//Model[Name='Australian Equities']//VolatilityModelId]//probability_state2_state1|//Model[ModelID=//Model[Name='Australian Equities']//volatility_model_id|//Model[Name='Australian Equities']//VolatilityModelId]//ProbabilityState2State1
@@OLDAUEQMU1@@,OldCalibFile,//Model[ModelID=//Model[Name='Australian Equities']//volatility_model_id|//Model[Name='Australian Equities']//VolatilityModelId]//mean_return_state1|//Model[ModelID=//Model[Name='Australian Equities']//volatility_model_id|//Model[Name='Australian Equities']//VolatilityModelId]//MeanReturnState1
